run    charge_(nC)   live_time     live_charge_(nC)
24357       27234    0.928347         25282.602198
24359     29103.8    0.978548         28479.465282
24358     22635.8    0.961889         21773.127026
24386       62014    0.988759         61316.900626
24417     88767.2    0.949917         84321.472322
24415      152854    0.953208         145701.65563
24424      429948    0.945738         406618.16162
24425      618600    0.932591          576900.7926
24426      358760    0.736251         264137.40876
24430      598576    0.886261         530494.56434
24451     3593.76    0.992683         3567.4644581
