run    charge_(nC)   live_time     live_charge_(nC)
24357       27234    0.928347         25282.602198
24359     29103.8    0.978548         28479.465282
24358     22635.8    0.961889         21773.127026
24386       62014    0.988759         61316.900626
24415     15954.6    0.936764         14945.694914
24417     17195.2     0.97899         16833.928848
24424     71170.8    0.960228         68340.194942
24425      170994    0.963467         164747.07620
24426       40454    0.987002         39928.178908
24430     32044.6    0.985571         31582.228467
